Cod_IBGE;grande_regiao;municipio;total_casos;total_obitos;taxa_de_letalidade;populacao;taxa_de_mortalidade
3536257;Interior;Parisi;304;15;4.93;2053;0.73
3529609;Interior;Meridiano;255;21;8.24;3725;0.56
3504800;Interior;Bãlsamo;1228;48;3.91;8542;0.56
3546108;Interior;Santa Clara d'Oeste;140;11;7.86;1998;0.55
3534005;Interior;Onda Verde;593;20;3.37;4250;0.47
3518909;Interior;Guzolãndia;400;23;5.75;5134;0.45
3548807;RMSP (exceto capital);São Caetano do Sul;14175;660;4.66;151111;0.44
3539004;Interior;Pirangi;1179;46;3.90;10825;0.42
3514403;Interior;Dracena;4125;190;4.61;45088;0.42
3549805;Interior;São Josã do Rio Preto;64347;1855;2.88;450361;0.41
3512902;Interior;Cosmorama;540;28;5.19;6976;0.40
3507308;Interior;Boracãia;743;19;2.56;4798;0.40
3529500;Interior;Mendonãa;600;20;3.33;5069;0.39
3517604;Interior;Guapiara;1655;68;4.11;17832;0.38
3532504;Interior;Neves Paulista;870;32;3.68;8592;0.37
3554904;Interior;Trãs Fronteiras;457;20;4.38;5550;0.36
3507753;Interior;Brejo Alegre;262;10;3.82;2780;0.36
3504206;Interior;Auriflama;1560;52;3.33;14478;0.36
3524808;Interior;Jales;4575;166;3.63;47242;0.35
3507704;Interior;Braãna;350;19;5.43;5593;0.34
3555802;Interior;Urãnia;911;29;3.18;8584;0.34
3548500;Interior;Santos;47510;1450;3.05;429513;0.34
3546801;RMSP (exceto capital);Santa Isabel;4604;186;4.04;55436;0.34
3533908;Interior;Olãmpia;6847;175;2.56;52670;0.33
3501806;Interior;Amãrico de Campos;616;19;3.08;5730;0.33
3513900;Interior;Divinolãndia;878;36;4.10;10865;0.33
3545100;Interior;Salmourão;249;17;6.83;5138;0.33
3531605;Interior;Monte Castelo;427;13;3.04;3985;0.33
3502101;Interior;Andradina;4420;182;4.12;56087;0.32
3557105;Interior;Votuporanga;10898;293;2.69;92193;0.32
3540309;Interior;Pontes Gestal;250;8;3.20;2530;0.32
3517703;Interior;Guarã;1327;65;4.90;20907;0.31
3505708;RMSP (exceto capital);Barueri;22188;826;3.72;266236;0.31
3512605;Interior;Coronel Macedo;289;15;5.19;4839;0.31
3544608;Interior;Sabino;250;17;6.80;5485;0.31
3528205;Interior;Macedãnia;251;11;4.38;3562;0.31
3535903;Interior;Paranapuã;310;12;3.87;3895;0.31
3502804;Interior;Araãatuba;20977;588;2.80;190921;0.31
3532603;Interior;Nhandeara;788;33;4.19;10760;0.31
3501202;Interior;ãlvares Florence;325;11;3.38;3596;0.31
3530003;Interior;Mira Estrela;288;9;3.13;2949;0.31
3504602;Interior;Bady Bassitt;2228;50;2.24;16441;0.30
3521150;Interior;Ipiguã;738;16;2.17;5286;0.30
3556107;Interior;Valentim Gentil;1415;39;2.76;12897;0.30
3549003;Interior;São Francisco;171;8;4.68;2667;0.30
3544806;Interior;Sales;261;18;6.90;6082;0.30
3517406;Interior;Guaãra;3566;115;3.22;39154;0.29
3516804;Interior;Gastão Vidigal;134;14;10.45;4811;0.29
3521408;Interior;Iracemãpolis;3152;69;2.19;23907;0.29
3508108;Interior;Buritama;1753;48;2.74;16673;0.29
3547809;RMSP (exceto capital);Santo Andrã;48270;1981;4.10;694681;0.29
3527108;Interior;Lins;6854;214;3.12;75318;0.28
3543501;Interior;Riversul;292;16;5.48;5686;0.28
3506508;Interior;Birigui;10701;340;3.18;122161;0.28
3547650;Interior;Santa Salete;153;4;2.61;1438;0.28
3503356;Interior;Arco-ãris;85;5;5.88;1806;0.28
3553401;Interior;Tanabi;3006;69;2.30;25147;0.27
3511102;Interior;Catanduva;7756;321;4.14;117414;0.27
3517109;Interior;Glicãrio;272;13;4.78;4762;0.27
3525607;Interior;João Ramalho;412;12;2.91;4404;0.27
3530300;Interior;Mirassol;5971;158;2.65;58112;0.27
3523206;Interior;Itararã;3630;133;3.66;49149;0.27
3549250;Interior;São João de Iracema;81;5;6.17;1853;0.27
3548708;RMSP (exceto capital);São Bernardo do Campo;56774;2197;3.87;815109;0.27
3537305;Interior;Penãpolis;4471;164;3.67;60902;0.27
3515509;Interior;Fernandãpolis;7494;178;2.38;66131;0.27
3520426;Interior;Ilha Comprida;794;28;3.53;10410;0.27
3552700;Interior;Tabatinga;1386;43;3.10;15996;0.27
3502606;Interior;Aparecida d'Oeste;575;11;1.91;4105;0.27
3513504;Interior;Cubatão;10881;346;3.18;130025;0.27
3543402;Interior;Ribeirão Preto;52101;1832;3.52;688894;0.27
3540804;Interior;Potirendaba;1777;44;2.48;16677;0.26
3539509;Interior;Pitangueiras;3197;102;3.19;38852;0.26
3555109;Interior;Tupi Paulista;1277;39;3.05;14877;0.26
3500204;Interior;Adolfo;374;9;2.41;3436;0.26
3552601;Interior;Tabapuã;909;31;3.41;11918;0.26
3515202;Interior;Estrela d'Oeste;949;21;2.21;8083;0.26
3510500;Interior;Caraguatatuba;12239;302;2.47;117090;0.26
3526001;Interior;Junqueirãpolis;1184;52;4.39;20174;0.26
3548104;Interior;Santo Antãnio do Jardim;352;15;4.26;5823;0.26
3510708;Interior;Cardoso;709;30;4.23;11712;0.26
3542602;Interior;Registro;4690;139;2.96;54270;0.26
3533502;Interior;Novo Horizonte;3229;100;3.10;39124;0.26
3520806;Interior;Inãbia Paulista;239;10;4.18;3913;0.26
3548401;Interior;Santãpolis do Aguapeã;360;12;3.33;4698;0.26
3518701;Interior;Guarujã;15803;814;5.15;318774;0.26
3532868;Interior;Nova Castilho;51;3;5.88;1180;0.25
3515806;Interior;Flora Rica;109;4;3.67;1575;0.25
3534401;RMSP (exceto capital);Osasco;31498;1714;5.44;682876;0.25
3501103;Interior;Alto Alegre;219;10;4.57;4006;0.25
3555901;Interior;Uru;123;3;2.44;1203;0.25
3505203;Interior;Bariri;2224;85;3.82;34180;0.25
3518800;RMSP (exceto capital);Guarulhos;48338;3381;6.99;1361862;0.25
3545704;Interior;Santa Albertina;530;14;2.64;5657;0.25
3505500;Interior;Barretos;10284;293;2.85;118419;0.25
3509502;Interior;Campinas;75297;2920;3.88;1181555;0.25
3521606;Interior;Irapuru;469;18;3.84;7295;0.25
3532801;Interior;Nova Alianãa;604;16;2.65;6487;0.25
3514205;Interior;Dolcinãpolis;141;5;3.55;2033;0.25
3525904;Interior;Jundiaã;34525;1006;2.91;409439;0.25
3532207;Interior;Narandiba;544;12;2.21;4888;0.25
3540200;Interior;Pontal;4051;122;3.01;49889;0.24
3521309;Interior;Ipuã;1265;39;3.08;16001;0.24
3500402;Interior;ãguas da Prata;399;19;4.76;7807;0.24
3545605;Interior;Santa Adãlia;980;36;3.67;14929;0.24
3530607;RMSP (exceto capital);Mogi das Cruzes;21767;1053;4.84;436883;0.24
3545803;Interior;Santa Bãrbara d'Oeste;14224;455;3.20;189330;0.24
3529401;RMSP (exceto capital);Mauã;19652;1110;5.65;463338;0.24
3528858;Interior;Marapoama;254;7;2.76;2925;0.24
3534500;Interior;Oscar Bressane;216;6;2.78;2508;0.24
3519501;Interior;Ibirarema;515;18;3.50;7570;0.24
3533007;Interior;Nova Granada;2115;50;2.36;21054;0.24
3529708;Interior;Miguelãpolis;831;51;6.14;21500;0.24
3508009;Interior;Buri;2070;47;2.27;19819;0.24
3551702;Interior;Sertãozinho;11167;292;2.61;123148;0.24
3520442;Interior;Ilha Solteira;1742;61;3.50;25754;0.24
3530805;Interior;Mogi Mirim;7578;214;2.82;90657;0.24
3545308;Interior;Salto de Pirapora;2359;105;4.45;44522;0.24
3529906;Interior;Miracatu;1330;47;3.53;19961;0.24
3503901;RMSP (exceto capital);Arujã;5765;214;3.71;90958;0.24
3520202;Interior;Igaratã;1716;22;1.28;9354;0.24
3519600;Interior;Ibitinga;5260;138;2.62;58860;0.23
3541406;Interior;Presidente Prudente;18157;520;2.86;221938;0.23
3543238;Interior;Ribeirão dos ãndios;61;5;8.20;2135;0.23
3552205;Interior;Sorocaba;47221;1550;3.28;663739;0.23
3536208;Interior;Pariquera-Aãu;1731;45;2.60;19311;0.23
3525300;Interior;Jaã;7022;346;4.93;148613;0.23
3531001;Interior;Monãães;168;5;2.98;2173;0.23
3555703;Interior;União Paulista;113;4;3.54;1751;0.23
3503950;Interior;Aspãsia;89;4;4.49;1760;0.23
3556958;Interior;Vitãria Brasil;143;4;2.80;1761;0.23
3512308;Interior;Conchas;1433;39;2.72;17203;0.23
3509254;Interior;Cajati;2791;66;2.36;29116;0.23
3516903;Interior;General Salgado;786;24;3.05;10632;0.23
3514700;Interior;Echaporã;346;14;4.05;6208;0.23
3531407;Interior;Monte Aprazãvel;1688;53;3.14;23561;0.22
3528007;Interior;Macatuba;2384;38;1.59;16981;0.22
3550308;Capital;São Paulo;703977;26642;3.78;11914851;0.22
3555307;Interior;Turmalina;128;4;3.13;1789;0.22
3517505;Interior;Guapiaãu;1509;47;3.11;21060;0.22
3530102;Interior;Mirandãpolis;1488;64;4.30;28715;0.22
3500907;Interior;Altair;132;9;6.82;4052;0.22
3538105;Interior;Pindorama;845;36;4.26;16331;0.22
3539806;RMSP (exceto capital);Poã;5669;255;4.50;116289;0.22
3548054;Interior;Santo Antãnio do Aracanguã;443;18;4.06;8297;0.22
3546603;Interior;Santa Fã do Sul;2653;67;2.53;30897;0.22
3534302;Interior;Orlãndia;3011;92;3.06;42436;0.22
3539301;Interior;Pirassununga;6475;160;2.47;73921;0.22
