YEAR,MONTH,CITYNAME,CODMUNNASC,DTNASC
2010,1,Andradina,350210,86
2010,1,Araãatuba,350280,217
2010,1,Barueri,350570,591
2010,1,Dracena,351440,47
2010,1,Guaãra,351740,32
2010,1,Jales,352480,80
2010,1,Santa Isabel,354680,75
2010,1,Santos,354850,993
2010,1,São Caetano do Sul,354880,91
2010,1,São Josã do Rio Preto,354980,682
2010,1,São Paulo,355030,16510
2010,2,Andradina,350210,77
2010,2,Araãatuba,350280,232
2010,2,Barueri,350570,537
2010,2,Dracena,351440,69
2010,2,Guaãra,351740,35
2010,2,Jales,352480,79
2010,2,Santa Isabel,354680,82
2010,2,Santos,354850,976
2010,2,São Caetano do Sul,354880,93
2010,2,São Josã do Rio Preto,354980,662
2010,2,São Paulo,355030,15951
2010,3,Andradina,350210,87
2010,3,Araãatuba,350280,266
2010,3,Barueri,350570,616
2010,3,Dracena,351440,71
2010,3,Guaãra,351740,49
2010,3,Jales,352480,82
2010,3,Santa Isabel,354680,89
2010,3,Santos,354850,1178
2010,3,São Caetano do Sul,354880,100
2010,3,São Josã do Rio Preto,354980,823
2010,3,São Paulo,355030,18063
2010,4,Andradina,350210,91
2010,4,Araãatuba,350280,262
2010,4,Barueri,350570,559
2010,4,Dracena,351440,59
2010,4,Guaãra,351740,40
2010,4,Jales,352480,80
2010,4,Santa Isabel,354680,69
2010,4,Santos,354850,1007
2010,4,São Caetano do Sul,354880,87
2010,4,São Josã do Rio Preto,354980,709
2010,4,São Paulo,355030,16150
2010,5,Andradina,350210,70
2010,5,Araãatuba,350280,220
2010,5,Barueri,350570,580
2010,5,Dracena,351440,49
2010,5,Guaãra,351740,33
2010,5,Jales,352480,98
2010,5,Santa Isabel,354680,57
2010,5,Santos,354850,1074
2010,5,São Caetano do Sul,354880,90
2010,5,São Josã do Rio Preto,354980,695
2010,5,São Paulo,355030,16717
2010,6,Andradina,350210,71
2010,6,Araãatuba,350280,235
2010,6,Barueri,350570,533
2010,6,Dracena,351440,39
2010,6,Guaãra,351740,48
2010,6,Jales,352480,80
2010,6,Santa Isabel,354680,68
2010,6,Santos,354850,1019
2010,6,São Caetano do Sul,354880,127
2010,6,São Josã do Rio Preto,354980,598
2010,6,São Paulo,355030,15977
2010,7,Andradina,350210,65
2010,7,Araãatuba,350280,218
2010,7,Barueri,350570,530
2010,7,Dracena,351440,56
2010,7,Guaãra,351740,35
2010,7,Jales,352480,85
2010,7,Santa Isabel,354680,72
2010,7,Santos,354850,1052
2010,7,São Caetano do Sul,354880,136
2010,7,São Josã do Rio Preto,354980,620
2010,7,São Paulo,355030,16011
2010,8,Andradina,350210,79
2010,8,Araãatuba,350280,185
2010,8,Barueri,350570,517
2010,8,Dracena,351440,51
